# time CV1(C-O coord) CV2(N-O coord) CV3(H-C coord)
0.00000 0.39654 2.77418 0.15871
10.00000 0.34656 2.86988 0.12033
20.00000 0.32861 2.91601 0.11362
30.00000 0.30827 2.92813 0.14547
40.00000 0.30266 2.93134 0.18536
50.00000 0.29463 2.93069 0.20805
60.00000 0.28922 2.92922 0.25316
70.00000 0.29604 2.92603 0.25508
80.00000 0.28587 2.92634 0.21006
90.00000 0.26242 2.92691 0.16178
100.00000 0.23732 2.92740 0.13169
110.00000 0.21294 2.92957 0.11988
120.00000 0.20544 2.93190 0.11285
130.00000 0.19996 2.93291 0.10311
140.00000 0.18492 2.93517 0.09906
150.00000 0.17851 2.93629 0.10198
160.00000 0.18737 2.93520 0.10168
170.00000 0.19669 2.93329 0.10215
180.00000 0.18644 2.93485 0.10253
190.00000 0.17704 2.93547 0.10603
200.00000 0.18375 2.93475 0.10733
210.00000 0.18187 2.93736 0.10671
220.00000 0.17895 2.93526 0.10609
230.00000 0.19123 2.93583 0.10591
240.00000 0.19688 2.93641 0.09825
250.00000 0.19408 2.93371 0.10149
260.00000 0.18957 2.93182 0.10341
270.00000 0.18006 2.93467 0.10202
280.00000 0.17603 2.93589 0.10790
290.00000 0.18559 2.93636 0.09743
300.00000 0.18338 2.93603 0.09444
310.00000 0.18066 2.93355 0.10136
320.00000 0.18932 2.93319 0.11378
330.00000 0.18647 2.93435 0.10661
340.00000 0.19437 2.93478 0.10327
350.00000 0.19020 2.93556 0.10646
360.00000 0.18593 2.93801 0.09403
370.00000 0.17467 2.93603 0.10557
380.00000 0.16667 2.93374 0.09954
390.00000 0.17316 2.93426 0.10623
400.00000 0.18817 2.93440 0.10282
410.00000 0.19084 2.93738 0.10093
420.00000 0.18749 2.93627 0.10228
430.00000 0.19527 2.93210 0.10510
440.00000 0.18629 2.93158 0.11044
450.00000 0.17887 2.93799 0.10955
460.00000 0.18066 2.93489 0.09897
470.00000 0.17890 2.93549 0.08857
480.00000 0.19041 2.93882 0.10864
490.00000 0.18433 2.93370 0.10762
500.00000 0.17686 2.93050 0.09650
510.00000 0.18818 2.93232 0.10484
520.00000 0.19777 2.93702 0.10055
530.00000 0.19027 2.93559 0.10321
540.00000 0.18848 2.93491 0.10454
550.00000 0.17563 2.93748 0.10757
560.00000 0.17825 2.93362 0.11167
570.00000 0.18872 2.93203 0.09787
580.00000 0.18463 2.93701 0.10634
590.00000 0.18931 2.93714 0.09513
600.00000 0.19553 2.93138 0.10402
610.00000 0.18879 2.93337 0.10517
620.00000 0.17965 2.93698 0.10727
630.00000 0.17944 2.93415 0.09958
640.00000 0.18420 2.93529 0.09762
650.00000 0.17942 2.93777 0.11029
660.00000 0.18215 2.93395 0.10384
670.00000 0.18412 2.93176 0.10856
680.00000 0.19456 2.93524 0.10422
690.00000 0.18758 2.93688 0.10187
700.00000 0.18444 2.93428 0.09700
710.00000 0.18972 2.93454 0.10727
720.00000 0.18403 2.93570 0.10057
730.00000 0.17314 2.93648 0.11036
740.00000 0.16841 2.93364 0.10564
750.00000 0.16296 2.93878 0.09690
760.00000 0.17408 2.93901 0.10703
770.00000 0.18625 2.93107 0.10311
780.00000 0.18561 2.93238 0.11036
790.00000 0.18220 2.93663 0.10137
800.00000 0.19193 2.93321 0.10505
810.00000 0.19266 2.93357 0.09764
820.00000 0.19429 2.93765 0.10231
830.00000 0.18492 2.93406 0.10636
840.00000 0.17282 2.93202 0.10306
850.00000 0.17034 2.93801 0.10374
860.00000 0.18562 2.93544 0.10428
870.00000 0.20021 2.93467 0.10600
880.00000 0.18343 2.93433 0.10430
890.00000 0.18210 2.93268 0.10451
900.00000 0.18744 2.93093 0.11337
910.00000 0.18928 2.93582 0.10422
920.00000 0.17397 2.93562 0.09534
930.00000 0.17774 2.93157 0.09897
940.00000 0.18176 2.93009 0.09697
950.00000 0.19334 2.93107 0.10977
960.00000 0.19688 2.92863 0.09833
970.00000 0.18541 2.93384 0.09703
980.00000 0.17824 2.93332 0.09099
990.00000 0.18272 2.92793 0.10981
1000.00000 0.18589 2.93011 0.10452
1010.00000 0.18199 2.93256 0.10702
1020.00000 0.18524 2.92997 0.09946
1030.00000 0.19304 2.93254 0.10148
1040.00000 0.17948 2.93362 0.10192
1050.00000 0.18782 2.92722 0.10225
1060.00000 0.18347 2.92877 0.09919
1070.00000 0.18871 2.93531 0.10100
1080.00000 0.18410 2.93164 0.10457
1090.00000 0.17990 2.92938 0.09028
1100.00000 0.18427 2.93176 0.10569
1110.00000 0.19211 2.92947 0.10445
1120.00000 0.18623 2.92935 0.09616
1130.00000 0.18716 2.93418 0.08880
1140.00000 0.19180 2.93212 0.09836
1150.00000 0.19107 2.92789 0.09804
1160.00000 0.18573 2.93116 0.10891
1170.00000 0.17601 2.93115 0.09087
1180.00000 0.17554 2.93029 0.10447
1190.00000 0.18487 2.93424 0.10262
1200.00000 0.18966 2.93108 0.10464
1210.00000 0.18698 2.92864 0.09652
1220.00000 0.18821 2.93187 0.10755
1230.00000 0.17505 2.92990 0.10397
1240.00000 0.17806 2.93226 0.10454
1250.00000 0.18718 2.93321 0.10297
1260.00000 0.18426 2.93066 0.09587
1270.00000 0.18850 2.92727 0.11012
1280.00000 0.18738 2.93197 0.09098
1290.00000 0.17813 2.93191 0.10507
1300.00000 0.18977 2.93272 0.09196
1310.00000 0.18692 2.93195 0.10515
1320.00000 0.19023 2.92880 0.08979
1330.00000 0.18293 2.92933 0.11469
1340.00000 0.17757 2.93263 0.09771
1350.00000 0.18529 2.93242 0.10796
1360.00000 0.19016 2.93152 0.09597
1370.00000 0.18855 2.93068 0.10263
1380.00000 0.18340 2.92700 0.09787
1390.00000 0.18098 2.93029 0.10817
1400.00000 0.17641 2.93524 0.10241
1410.00000 0.18318 2.93192 0.10231
1420.00000 0.19486 2.92926 0.09217
1430.00000 0.18189 2.93056 0.10596
1440.00000 0.18100 2.93104 0.10453
1450.00000 0.18719 2.93085 0.10829
1460.00000 0.18591 2.93362 0.09745
1470.00000 0.19171 2.93205 0.09782
1480.00000 0.18928 2.92953 0.10242
1490.00000 0.17468 2.93127 0.10366
1500.00000 0.18145 2.92956 0.11023
1510.00000 0.18267 2.93347 0.09966
1520.00000 0.19333 2.93451 0.09692
1530.00000 0.18841 2.92793 0.09339
1540.00000 0.18137 2.92956 0.10838
1550.00000 0.18444 2.93296 0.10832
1560.00000 0.17834 2.93076 0.10606
1570.00000 0.18982 2.93305 0.09751
1580.00000 0.19265 2.93438 0.09564
1590.00000 0.18282 2.92587 0.10115
1600.00000 0.17774 2.92994 0.10639
1610.00000 0.18493 2.93427 0.10709
1620.00000 0.19156 2.93141 0.09797
1630.00000 0.19211 2.93361 0.09871
1640.00000 0.18578 2.93367 0.09447
1650.00000 0.18575 2.92494 0.10974
1660.00000 0.17827 2.93153 0.10848
1670.00000 0.18316 2.93558 0.10226
1680.00000 0.19146 2.93168 0.09403
1690.00000 0.19399 2.93220 0.09451
1700.00000 0.18300 2.93144 0.10161
1710.00000 0.17743 2.92695 0.10774
1720.00000 0.18419 2.93042 0.11123
1730.00000 0.18735 2.93695 0.09605
1740.00000 0.19434 2.93111 0.09907
1750.00000 0.18896 2.92960 0.09482
1760.00000 0.17719 2.93134 0.10875
1770.00000 0.18002 2.92776 0.11021
1780.00000 0.18709 2.93248 0.10021
1790.00000 0.18595 2.93537 0.08903
1800.00000 0.19620 2.93197 0.09192
1810.00000 0.18705 2.92822 0.10276
1820.00000 0.17732 2.93102 0.11075
1830.00000 0.18117 2.92934 0.10308
1840.00000 0.18626 2.93371 0.10000
1850.00000 0.19616 2.93406 0.10340
1860.00000 0.18910 2.92948 0.09750
1870.00000 0.18274 2.92897 0.10550
1880.00000 0.17880 2.93071 0.10501
1890.00000 0.17985 2.93218 0.10509
1900.00000 0.18545 2.93382 0.09631
1910.00000 0.19196 2.93175 0.09242
1920.00000 0.18698 2.92863 0.09786
1930.00000 0.18173 2.93047 0.11442
1940.00000 0.18487 2.93175 0.10437
1950.00000 0.18187 2.93380 0.10188
1960.00000 0.19443 2.93254 0.09797
1970.00000 0.19187 2.93101 0.10366
1980.00000 0.18130 2.92891 0.10012
1990.00000 0.17854 2.93007 0.10725
2000.00000 0.18184 2.93335 0.10138
2010.00000 0.18823 2.93294 0.09989
2020.00000 0.18947 2.93235 0.09067
2030.00000 0.18842 2.92953 0.09899
2040.00000 0.17910 2.92894 0.11080
2050.00000 0.18604 2.93134 0.10638
2060.00000 0.18611 2.93539 0.10135
2070.00000 0.19043 2.93179 0.09622
2080.00000 0.18970 2.93007 0.10066
2090.00000 0.17993 2.92936 0.10233
2100.00000 0.18016 2.92820 0.11154
2110.00000 0.18198 2.93427 0.09640
2120.00000 0.18897 2.93348 0.09569
2130.00000 0.19486 2.93098 0.08908
2140.00000 0.18471 2.92932 0.10140
2150.00000 0.17808 2.92859 0.11106
2160.00000 0.18516 2.93281 0.10639
2170.00000 0.18509 2.93527 0.09900
2180.00000 0.19320 2.93170 0.09775
2190.00000 0.19392 2.93010 0.10049
2200.00000 0.17734 2.92893 0.10431
2210.00000 0.17967 2.93016 0.11013
2220.00000 0.18160 2.93461 0.09915
2230.00000 0.19161 2.93263 0.09711
2240.00000 0.18948 2.93005 0.08792
2250.00000 0.18370 2.92890 0.10524
2260.00000 0.18136 2.93069 0.10878
2270.00000 0.18419 2.93256 0.10536
2280.00000 0.18680 2.93330 0.08984
2290.00000 0.19523 2.93336 0.10250
2300.00000 0.19132 2.93002 0.10042
2310.00000 0.17891 2.92865 0.10925
2320.00000 0.17997 2.93059 0.10635
2330.00000 0.18391 2.93462 0.09824
2340.00000 0.19431 2.93247 0.09820
2350.00000 0.18931 2.93118 0.09245
2360.00000 0.18429 2.93154 0.10254
2370.00000 0.17878 2.92854 0.10729
2380.00000 0.18194 2.93135 0.11274
2390.00000 0.18927 2.93457 0.09973
2400.00000 0.19197 2.93190 0.09681
2410.00000 0.18825 2.93048 0.09473
2420.00000 0.18156 2.92911 0.10747
2430.00000 0.18072 2.92972 0.10961
2440.00000 0.18519 2.93274 0.09822
2450.00000 0.19178 2.93295 0.09199
2460.00000 0.19128 2.93294 0.08968
2470.00000 0.18402 2.92828 0.10564
2480.00000 0.18150 2.92856 0.10534
2490.00000 0.18635 2.93179 0.10327
2500.00000 0.18614 2.93337 0.08832
2510.00000 0.18890 2.93204 0.09904
2520.00000 0.19342 2.93111 0.09337
2530.00000 0.17883 2.92768 0.10980
2540.00000 0.18158 2.93010 0.10337
2550.00000 0.18010 2.93501 0.10422
2560.00000 0.18995 2.93208 0.10181
2570.00000 0.19295 2.93000 0.09756
2580.00000 0.18174 2.93028 0.10265
2590.00000 0.18292 2.92874 0.10718
2600.00000 0.17810 2.93351 0.10483
